Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
NE,02/01/2023,DIESEL S10,DISLUB,6.99
NE,02/01/2023,GNV,IPIRANGA,4.85
NE,16/01/2023,ETANOL,DISLUB,3.99
NE,24/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.4
NE,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.31
NE,12/01/2023,DIESEL S10,FAN,6.59
NE,16/01/2023,ETANOL,TDC DISTRIBUIDORA,3.99
NE,26/01/2023,DIESEL,VIBRA ENERGIA,6.61
NE,23/01/2023,ETANOL,VIBRA ENERGIA,4.1
NE,04/01/2023,DIESEL S10,RAIZEN,6.66
NE,05/01/2023,DIESEL S10,SP,6.89
NE,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.27
NE,16/01/2023,DIESEL,RAIZEN,6.44
NE,20/01/2023,ETANOL,BRANCA,4.34
NE,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.51
NE,25/01/2023,DIESEL,SABBÁ,6.19
NE,03/01/2023,DIESEL S10,SABBÁ,6.52
NE,12/01/2023,DIESEL,PETROBAHIA,6.18
NE,10/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.09
NE,18/01/2023,DIESEL,VIBRA ENERGIA,6.56
NE,17/01/2023,DIESEL S10,TDC DISTRIBUIDORA,6.99
NE,26/01/2023,ETANOL,SABBÁ,4.25
NE,10/01/2023,ETANOL,SP,4.72
NE,12/01/2023,GASOLINA,PETROBAHIA,5.34
NE,18/01/2023,GASOLINA ADITIVADA,SABBÁ,5.32
NE,24/01/2023,DIESEL,FAN,6.49
NE,05/01/2023,GASOLINA ADITIVADA,SP,5.59
NE,11/01/2023,DIESEL,VIBRA ENERGIA,6.45
NE,16/01/2023,GASOLINA,IPIRANGA,5.11
NE,24/01/2023,DIESEL S10,BRANCA,6.34
NE,17/01/2023,DIESEL,SABBÁ,6.39
NE,18/01/2023,DIESEL S10,SP,6.89
NE,23/01/2023,DIESEL,BRANCA,6.28
NE,02/01/2023,ETANOL,IPIRANGA,4.13
NE,11/01/2023,GASOLINA,BRANCA,5.18
NE,24/01/2023,GASOLINA,FAN,5.19
NE,12/01/2023,DIESEL,ALESAT,6.43
NE,17/01/2023,GASOLINA,FAN,4.98
NE,17/01/2023,ETANOL,LARCO,4.28
NE,04/01/2023,GASOLINA,FAN,5.19
NE,10/01/2023,DIESEL,IPIRANGA,6.74
NE,10/01/2023,GNV,IPIRANGA,4.69
NE,25/01/2023,ETANOL,IPIRANGA,4.21
NE,26/01/2023,DIESEL S10,SABBÁ,6.55
NE,26/01/2023,DIESEL S10,BRANCA,6.67
NE,25/01/2023,DIESEL,VIBRA ENERGIA,6.44
NE,24/01/2023,GASOLINA,BRANCA,5.06
NE,05/01/2023,ETANOL,SP,4.99
NE,12/01/2023,ETANOL,BRANCA,4.43
NE,10/01/2023,GASOLINA ADITIVADA,LARCO,5.44
NE,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.79
NE,03/01/2023,GASOLINA,TDC DISTRIBUIDORA,4.88
NE,19/01/2023,GASOLINA ADITIVADA,RAIZEN,5.6
NE,17/01/2023,GASOLINA,DISLUB,4.92
NE,24/01/2023,GASOLINA,DISLUB,4.79
NE,03/01/2023,GNV,BRANCA,4.49
NE,10/01/2023,DIESEL,RAIZEN,6.53
NE,19/01/2023,GASOLINA,BRANCA,5.25
NE,18/01/2023,DIESEL S10,IPIRANGA,6.55
NE,17/01/2023,GASOLINA,TEMAPE,5.01
NE,02/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.7
NE,05/01/2023,DIESEL S10,RAIZEN,6.55
NE,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.39
NE,09/01/2023,GASOLINA ADITIVADA,RAIZEN,5.57
NE,20/01/2023,DIESEL,IPIRANGA,6.99
NE,26/01/2023,GASOLINA,BRANCA,5.46
NE,26/01/2023,GNV,VIBRA ENERGIA,4.32
NE,10/01/2023,GASOLINA,SP,5.25
NE,25/01/2023,GNV,BRANCA,4.69
NE,23/01/2023,DIESEL,ALESAT,6.56
NE,23/01/2023,DIESEL S10,FAN,6.37
NE,06/01/2023,GASOLINA,VIBRA ENERGIA,5.58
NE,02/01/2023,GASOLINA ADITIVADA,ALESAT,5.42
NE,12/01/2023,DIESEL S10,LARCO,6.33
NE,17/01/2023,DIESEL,RAIZEN,6.13
NE,17/01/2023,GASOLINA ADITIVADA,FEDERAL ENERGIA,4.65
NE,23/01/2023,ETANOL,PETROX DISTRIBUIDORA,4.13
NE,12/01/2023,ETANOL,RAIZEN,4.57
NE,19/01/2023,ETANOL,DISLUB,4.54
NE,25/01/2023,DIESEL,BRANCA,6.48
NE,24/01/2023,DIESEL,ALESAT,6.41
NE,05/01/2023,ETANOL,BRANCA,4.57
NE,02/01/2023,ETANOL,BRANCA,4.11
NE,04/01/2023,GASOLINA ADITIVADA,SP,5.32
NE,18/01/2023,DIESEL,IPIRANGA,6.48
NE,25/01/2023,GASOLINA ADITIVADA,RAIZEN,5.64
NE,03/01/2023,DIESEL S10,BRANCA,6.55
NE,04/01/2023,DIESEL S10,SABBÁ,6.56
NE,17/01/2023,GASOLINA,IPIRANGA,5.06
NE,26/01/2023,ETANOL,SP,4.53
NE,24/01/2023,GASOLINA,PETROBAHIA,5.78
NE,03/01/2023,ETANOL,ALESAT,4.27
NE,16/01/2023,GASOLINA ADITIVADA,RAIZEN,5.47
NE,18/01/2023,GASOLINA,SABBÁ,5.1
NE,24/01/2023,ETANOL,FAN,4.19
NE,19/01/2023,DIESEL S10,RAIZEN,6.39
NE,19/01/2023,GASOLINA,ALESAT,5.27
NE,18/01/2023,GASOLINA,SP,5.59
NE,03/01/2023,DIESEL S10,RAIZEN,6.51
NE,19/01/2023,DIESEL,RAIZEN,6.54
NE,26/01/2023,GASOLINA,RAIZEN,5.6
NE,11/01/2023,GNV,ALESAT,4.11
NE,11/01/2023,GASOLINA ADITIVADA,SP,5.6
NE,16/01/2023,DIESEL S10,VIBRA ENERGIA,6.59
NE,18/01/2023,GASOLINA ADITIVADA,BRANCA,5.36
NE,17/01/2023,GASOLINA,LARCO,5.29
NE,25/01/2023,DIESEL,RAIZEN,6.48
NE,09/01/2023,DIESEL,FAN,6.72
NE,24/01/2023,GNV,VIBRA ENERGIA,4.31
NE,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.5
NE,23/01/2023,GNV,VIBRA ENERGIA,4.64
NE,10/01/2023,DIESEL S10,DISLUB,6.53
NE,17/01/2023,GASOLINA,RAIZEN,5.07
NE,12/01/2023,GASOLINA,BRANCA,5.3
NE,12/01/2023,GASOLINA ADITIVADA,RAIZEN,5.81
NE,26/01/2023,GASOLINA,IPIRANGA,5.47
NE,26/01/2023,DIESEL S10,RAIZEN,6.64
NE,03/01/2023,DIESEL,FAN,6.72
NE,09/01/2023,GASOLINA,RAIZEN,5.14
NE,16/01/2023,DIESEL,PETROX DISTRIBUIDORA,6.14
NE,04/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.52
NE,12/01/2023,DIESEL S10,IPIRANGA,6.5
NE,16/01/2023,ETANOL,BRANCA,4.11
NE,16/01/2023,GASOLINA ADITIVADA,ALESAT,5.35
NE,17/01/2023,ETANOL,SP,4.62
NE,26/01/2023,GASOLINA ADITIVADA,SABBÁ,5.25
NE,05/01/2023,DIESEL S10,VIBRA ENERGIA,6.55
NE,04/01/2023,GASOLINA,DISLUB,5.16
NE,17/01/2023,DIESEL S10,FEDERAL ENERGIA,6.19
NE,16/01/2023,GNV,VIBRA ENERGIA,4.46
NE,23/01/2023,GNV,BRANCA,4.6
NE,11/01/2023,DIESEL S10,PETROX DISTRIBUIDORA,6.45
NE,04/01/2023,ETANOL,RAIZEN,4.36
NE,17/01/2023,GNV,VIBRA ENERGIA,4.22
NE,16/01/2023,GASOLINA ADITIVADA,TDC DISTRIBUIDORA,4.87
