Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
S,23/01/2023,DIESEL S10,RAIZEN,6.32
S,23/01/2023,GASOLINA,UNI,4.89
S,03/01/2023,GASOLINA,BRANCA,5.07
S,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.15
S,09/01/2023,DIESEL,RAIZEN,6.04
S,16/01/2023,ETANOL,CIAPETRO,4.28
S,10/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.28
S,10/01/2023,GASOLINA,RAIZEN,5.07
S,10/01/2023,GASOLINA,STANG,4.91
S,20/01/2023,GASOLINA,RAIZEN MIME,5.19
S,25/01/2023,GASOLINA,IPIRANGA,5.05
S,24/01/2023,DIESEL,ALESAT,6.36
S,24/01/2023,ETANOL,RODOIL,4.09
S,17/01/2023,ETANOL,IDAZA,4.49
S,24/01/2023,DIESEL,STANG,5.89
S,10/01/2023,DIESEL,VIBRA ENERGIA,6.35
S,10/01/2023,ETANOL,POTENCIAL,4.29
S,20/01/2023,DIESEL S10,ESTRADA,6.44
S,17/01/2023,GASOLINA,IDAZA,5.09
S,18/01/2023,GASOLINA,ALESAT,5.13
S,26/01/2023,GASOLINA,STANG,5.21
S,12/01/2023,DIESEL S10,MAXSUL,5.99
S,05/01/2023,GASOLINA ADITIVADA,BRANCA,5.07
S,02/01/2023,ETANOL,RODOIL,4.89
S,02/01/2023,GNV,AMERICANOIL,5.74
S,10/01/2023,ETANOL,RAIZEN,4.52
S,10/01/2023,DIESEL,MAXSUL,6.2
S,16/01/2023,GASOLINA,CIAPETRO,5.2
S,17/01/2023,DIESEL S10,CIAPETRO,6.69
S,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.36
S,03/01/2023,GNV,VIBRA ENERGIA,5.73
S,11/01/2023,ETANOL,RAIZEN,4.34
S,09/01/2023,DIESEL S10,RAIZEN,6.26
S,18/01/2023,DIESEL S10,RAIZEN,6.6
S,16/01/2023,DIESEL S10,CHARRUA,6.12
S,17/01/2023,DIESEL,CHARRUA,6.14
S,17/01/2023,GASOLINA ADITIVADA,SUL COMBUSTÍVEIS,4.94
S,17/01/2023,GNV,CHARRUA,5.87
S,23/01/2023,ETANOL,UNI,4.07
S,25/01/2023,GASOLINA,RAIZEN MIME,5.32
S,26/01/2023,GASOLINA,CHARRUA,5.29
S,11/01/2023,GASOLINA ADITIVADA,RAIZEN MIME,5.43
S,16/01/2023,ETANOL,ALESAT,4.38
S,26/01/2023,GNV,RAIZEN MIME,5.49
S,24/01/2023,GASOLINA,DIBRAPE,5.05
S,11/01/2023,GASOLINA ADITIVADA,CHARRUA,5.14
S,19/01/2023,ETANOL,ALESAT,4.34
S,26/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.45
S,25/01/2023,DIESEL S10,BRANCA,6.31
S,25/01/2023,DIESEL S10,RODOIL,6.22
S,02/01/2023,GASOLINA,ALESAT,5.3
S,02/01/2023,DIESEL S10,CIAPETRO,6.55
S,25/01/2023,DIESEL S10,RAIZEN,6.39
S,12/01/2023,DIESEL S10,RODOIL,6.39
S,13/01/2023,GASOLINA,RAIZEN,5.27
S,24/01/2023,GASOLINA ADITIVADA,RODOIL,5.16
S,10/01/2023,GASOLINA,CIAPETRO,5.27
S,11/01/2023,GASOLINA ADITIVADA,ALESAT,5.29
S,11/01/2023,DIESEL,CIAPETRO,5.92
S,10/01/2023,GASOLINA ADITIVADA,PELIKANO,5.23
S,19/01/2023,DIESEL S10,ALESAT,6.48
S,03/01/2023,GASOLINA ADITIVADA,BRANCA,5.15
S,10/01/2023,DIESEL S10,ALESAT,6.46
S,02/01/2023,GASOLINA,RODOIL,5.14
S,16/01/2023,GASOLINA,CHARRUA,4.85
S,17/01/2023,GASOLINA,MAXSUL,4.87
S,26/01/2023,GASOLINA,BRANCA,5.1
S,24/01/2023,DIESEL S10,RAIZEN MIME,6.61
S,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.43
