Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
N,10/01/2023,GASOLINA,RAIZEN,5.15
N,09/01/2023,GASOLINA ADITIVADA,ALESAT,5.29
N,09/01/2023,GASOLINA,VIBRA ENERGIA,5.27
N,24/01/2023,GASOLINA,EQUADOR,5.56
N,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.16
N,04/01/2023,ETANOL,SABBÁ,4.39
N,18/01/2023,GASOLINA ADITIVADA,BRANCA,5.28
N,02/01/2023,ETANOL,SABBÁ,4.51
N,02/01/2023,GASOLINA ADITIVADA,SABBÁ,5.32
N,23/01/2023,DIESEL S10,ATEM' S,6.57
N,24/01/2023,GNV,ATEM' S,4.19
N,26/01/2023,GASOLINA ADITIVADA,RAIZEN,5.3
N,04/01/2023,GASOLINA,SABBÁ,5.02
N,03/01/2023,ETANOL,IPIRANGA,4.49
N,13/01/2023,DIESEL,IPIRANGA,6.2
N,02/01/2023,GASOLINA,BRANCA,5.19
N,10/01/2023,DIESEL,VIBRA ENERGIA,6.95
N,17/01/2023,DIESEL S10,SABBÁ,6.76
N,17/01/2023,GASOLINA ADITIVADA,EQUADOR,4.99
N,18/01/2023,GASOLINA,SABBÁ,5.05
N,02/01/2023,DIESEL S10,SIMARELLI,6.79
N,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.25
N,25/01/2023,DIESEL,VIBRA ENERGIA,6.86
N,24/01/2023,ETANOL,VIBRA ENERGIA,4.44
N,24/01/2023,DIESEL,ATEM' S,6.69
N,26/01/2023,GASOLINA,BRANCA,5.21
N,17/01/2023,ETANOL,IPIRANGA,4.57
N,26/01/2023,GASOLINA ADITIVADA,SABBÁ,5.51
N,10/01/2023,DIESEL S10,BRANCA,6.65
N,24/01/2023,DIESEL,VIBRA ENERGIA,6.66
N,04/01/2023,DIESEL,BRANCA,6.84
N,23/01/2023,DIESEL,ALESAT,6.44
N,09/01/2023,GASOLINA,BRANCA,5.11
N,16/01/2023,ETANOL,ATEM' S,3.87
N,19/01/2023,GASOLINA ADITIVADA,BRANCA,5.12
N,23/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.41
N,09/01/2023,GASOLINA,SABBÁ,5.28
N,25/01/2023,ETANOL,VIBRA ENERGIA,4.49
N,26/01/2023,DIESEL S10,BRANCA,6.3
N,02/01/2023,ETANOL,VIBRA ENERGIA,4.39
N,24/01/2023,DIESEL S10,SABBÁ,6.77
N,11/01/2023,DIESEL,VIBRA ENERGIA,6.58
N,09/01/2023,DIESEL,SABBÁ,7.39
N,26/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.35
N,09/01/2023,GASOLINA,ATEM' S,4.99
N,23/01/2023,GASOLINA ADITIVADA,SABBÁ,5.2
N,23/01/2023,GASOLINA,SABBÁ,5.0
N,23/01/2023,DIESEL,IPIRANGA,7.14
N,24/01/2023,GASOLINA,ATEM' S,5.04
N,03/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.47
N,10/01/2023,ETANOL,RAIZEN,4.39
N,23/01/2023,GASOLINA,BRANCA,5.06
N,04/01/2023,DIESEL S10,SABBÁ,6.86
N,04/01/2023,GASOLINA,ATEM' S,5.68
N,04/01/2023,GASOLINA,EQUADOR,5.21
N,11/01/2023,DIESEL S10,IPIRANGA,6.63
N,09/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
N,17/01/2023,GASOLINA,SABBÁ,4.98
N,26/01/2023,DIESEL S10,IPIRANGA,7.11
N,02/01/2023,DIESEL S10,RAIZEN,6.89
N,23/01/2023,GASOLINA,VIBRA ENERGIA,5.26
