Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
CO,09/01/2023,GASOLINA,RAIZEN,5.04
CO,17/01/2023,GASOLINA,VIBRA ENERGIA,5.07
CO,19/01/2023,DIESEL S10,RAIZEN,6.44
CO,25/01/2023,DIESEL,BRANCA,6.06
CO,26/01/2023,ETANOL,IPIRANGA,3.54
CO,26/01/2023,GASOLINA,BRANCA,4.83
CO,09/01/2023,DIESEL S10,TAURUS,6.52
CO,16/01/2023,GASOLINA,TAURUS,4.7
CO,02/01/2023,ETANOL,IDAZA,3.69
CO,02/01/2023,DIESEL S10,VIBRA ENERGIA,6.49
CO,10/01/2023,GASOLINA,IPIRANGA,5.12
CO,25/01/2023,DIESEL S10,VIBRA ENERGIA,6.44
CO,12/01/2023,GASOLINA ADITIVADA,SIMARELLI,4.93
CO,11/01/2023,GASOLINA,TAURUS,5.09
CO,26/01/2023,DIESEL S10,RAIZEN,6.16
CO,12/01/2023,GASOLINA ADITIVADA,RAIZEN,5.26
CO,03/01/2023,DIESEL S10,RAIZEN,6.46
CO,05/01/2023,DIESEL S10,MASUT DISTRIBUIDORA,6.33
CO,03/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,5.19
CO,11/01/2023,DIESEL S10,IPIRANGA,6.54
CO,16/01/2023,DIESEL,IPIRANGA,6.63
CO,04/01/2023,ETANOL,ALESAT,3.84
CO,06/01/2023,GASOLINA,BRANCA,4.81
CO,17/01/2023,DIESEL S10,ROYAL FIC,6.69
CO,19/01/2023,GASOLINA,RIO BRANCO,4.77
CO,18/01/2023,GASOLINA ADITIVADA,RAIZEN,5.16
CO,02/01/2023,DIESEL S10,IPIRANGA,6.71
CO,25/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.85
CO,05/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.14
CO,11/01/2023,ETANOL,VIBRA ENERGIA,3.99
CO,02/01/2023,GASOLINA ADITIVADA,RAIZEN,5.33
CO,17/01/2023,DIESEL,ROYAL FIC,6.59
CO,05/01/2023,DIESEL S10,RAIZEN,6.56
CO,18/01/2023,DIESEL S10,BRANCA,6.33
CO,19/01/2023,GASOLINA,IPIRANGA,4.69
CO,26/01/2023,DIESEL,CIAPETRO,5.89
CO,25/01/2023,DIESEL S10,TOTALENERGIES,5.99
CO,25/01/2023,ETANOL,RIO BRANCO,3.79
CO,04/01/2023,GASOLINA ADITIVADA,RAIZEN,5.38
CO,04/01/2023,DIESEL S10,ALESAT,6.29
CO,24/01/2023,DIESEL,IPIRANGA,6.5
CO,02/01/2023,ETANOL,VIBRA ENERGIA,3.82
CO,19/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,4.88
CO,05/01/2023,GASOLINA,VIBRA ENERGIA,5.13
CO,19/01/2023,DIESEL S10,BRANCA,6.25
CO,26/01/2023,DIESEL,IPIRANGA,6.11
CO,19/01/2023,GASOLINA,BRANCA,4.72
CO,16/01/2023,DIESEL S10,RAIZEN,6.54
CO,25/01/2023,DIESEL,ALESAT,5.94
CO,12/01/2023,GASOLINA ADITIVADA,ALESAT,4.99
CO,18/01/2023,ETANOL,TAURUS,3.79
CO,09/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.22
CO,09/01/2023,GASOLINA ADITIVADA,BRANCA,4.99
CO,17/01/2023,ETANOL,RAIZEN,3.85
CO,17/01/2023,DIESEL S10,BRANCA,6.36
CO,09/01/2023,ETANOL,TAURUS,3.88
CO,18/01/2023,DIESEL S10,VIBRA ENERGIA,6.64
CO,12/01/2023,DIESEL S10,VIBRA ENERGIA,6.38
CO,16/01/2023,ETANOL,VIBRA ENERGIA,3.74
CO,03/01/2023,DIESEL S10,VIBRA ENERGIA,6.61
CO,12/01/2023,GASOLINA ADITIVADA,MASUT DISTRIBUIDORA,4.99
CO,17/01/2023,GASOLINA ADITIVADA,RAIZEN,5.18
CO,25/01/2023,DIESEL,TOTALENERGIES,5.89
CO,26/01/2023,GASOLINA ADITIVADA,ROYAL FIC,4.76
CO,03/01/2023,GASOLINA,IPIRANGA,5.1
CO,02/01/2023,DIESEL,IDAZA,6.69
CO,02/01/2023,DIESEL,IPIRANGA,6.55
CO,11/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.25
CO,09/01/2023,DIESEL,RAIZEN,6.55
CO,26/01/2023,GASOLINA,RAIZEN,4.79
CO,04/01/2023,GASOLINA,VIBRA ENERGIA,5.1
CO,19/01/2023,GASOLINA,RAIZEN,4.67
CO,26/01/2023,GASOLINA,MASUT DISTRIBUIDORA,4.89
CO,11/01/2023,DIESEL S10,RIO BRANCO,6.49
CO,26/01/2023,DIESEL S10,VIBRA ENERGIA,6.71
CO,12/01/2023,GASOLINA,VIBRA ENERGIA,4.87
CO,18/01/2023,DIESEL,RAIZEN,6.37
CO,25/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,4.94
CO,25/01/2023,DIESEL S10,IPIRANGA,6.31
CO,05/01/2023,GASOLINA ADITIVADA,RAIZEN,5.64
CO,04/01/2023,DIESEL,IPIRANGA,6.41
CO,11/01/2023,ETANOL,BRANCA,3.81
CO,10/01/2023,DIESEL,RAIZEN,6.36
CO,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.06
CO,26/01/2023,GASOLINA,RIO BRANCO,4.67
CO,12/01/2023,ETANOL,MASUT DISTRIBUIDORA,3.85
CO,19/01/2023,ETANOL,IPIRANGA,3.57
CO,25/01/2023,ETANOL,BRANCA,3.51
CO,09/01/2023,GASOLINA ADITIVADA,TAURUS,4.92
CO,19/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.8
CO,03/01/2023,GASOLINA,MASUT DISTRIBUIDORA,5.19
CO,11/01/2023,DIESEL,BRANCA,6.25
CO,16/01/2023,DIESEL S10,IPIRANGA,6.84
CO,26/01/2023,GASOLINA,ALESAT,4.89
CO,25/01/2023,GASOLINA,ALESAT,4.7
CO,02/01/2023,GASOLINA,RAIZEN,5.17
CO,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.74
CO,11/01/2023,GASOLINA ADITIVADA,BRANCA,5.04
CO,11/01/2023,GASOLINA,IPIRANGA,4.95
CO,16/01/2023,GASOLINA,RAIZEN,4.95
CO,24/01/2023,GASOLINA ADITIVADA,BRANCA,4.71
CO,25/01/2023,DIESEL,VIBRA ENERGIA,6.21
CO,23/01/2023,DIESEL,VIBRA ENERGIA,6.6
CO,04/01/2023,ETANOL,RAIZEN,3.94
CO,02/01/2023,DIESEL,BRANCA,6.51
CO,06/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.99
CO,11/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.97
CO,24/01/2023,ETANOL,VIBRA ENERGIA,3.75
CO,24/01/2023,DIESEL,VIBRA ENERGIA,6.69
CO,04/01/2023,ETANOL,IPIRANGA,3.99
CO,03/01/2023,ETANOL,RAIZEN,3.76
CO,03/01/2023,GASOLINA,TAURUS,4.91
CO,11/01/2023,GASOLINA,RAIZEN,4.91
CO,26/01/2023,GASOLINA,ROYAL FIC,4.76
CO,17/01/2023,ETANOL,BRANCA,3.68
CO,24/01/2023,GASOLINA,BRANCA,4.75
CO,23/01/2023,DIESEL S10,IPIRANGA,6.6
CO,05/01/2023,DIESEL,VIBRA ENERGIA,6.29
CO,03/01/2023,DIESEL S10,BRANCA,6.47
CO,03/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.16
CO,10/01/2023,ETANOL,RAIZEN,3.91
CO,09/01/2023,GASOLINA ADITIVADA,RAIZEN,5.25
CO,12/01/2023,GASOLINA,ROYAL FIC,4.76
CO,17/01/2023,DIESEL,TAURUS,6.39
CO,12/01/2023,GASOLINA ADITIVADA,ROYAL FIC,4.76
CO,11/01/2023,GASOLINA,RIO BRANCO,4.99
CO,17/01/2023,GASOLINA,ROYAL FIC,4.66
CO,02/01/2023,GASOLINA,BRANCA,5.14
CO,12/01/2023,GASOLINA ADITIVADA,IPIRANGA,4.98
CO,26/01/2023,ETANOL,TAURUS,3.69
CO,03/01/2023,DIESEL,MASUT DISTRIBUIDORA,6.39
CO,23/01/2023,GASOLINA,TAURUS,4.89
