Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
SE,ES,COLATINA,MOTOCAP COMBUSTIVEIS LTDA,05.791.319/0001-04,RODOVIA GETHER LOPES DE FARIAS,2600,,CARLOS GERMANO NAUMANN,29705-390,DIESEL S10,05/05/2023,5.65,,R$ / litro,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,MOTOCAP COMBUSTIVEIS LTDA,05.791.319/0001-04,RODOVIA GETHER LOPES DE FARIAS,2600,,CARLOS GERMANO NAUMANN,29705-390,DIESEL,05/05/2023,5.55,,R$ / litro,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,MOTOCAP COMBUSTIVEIS LTDA,05.791.319/0001-04,RODOVIA GETHER LOPES DE FARIAS,2600,,CARLOS GERMANO NAUMANN,29705-390,GASOLINA ADITIVADA,05/05/2023,5.99,,R$ / litro,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,MOTOCAP COMBUSTIVEIS LTDA,05.791.319/0001-04,RODOVIA GETHER LOPES DE FARIAS,2600,,CARLOS GERMANO NAUMANN,29705-390,GASOLINA,05/05/2023,5.87,,R$ / litro,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,MOTOCAP COMBUSTIVEIS LTDA,05.791.319/0001-04,RODOVIA GETHER LOPES DE FARIAS,2600,,CARLOS GERMANO NAUMANN,29705-390,GNV,05/05/2023,5.27,,R$ / m³,VIBRA ENERGIA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO ARNALDO LTDA,27.495.696/0001-20,AVENIDA SILVIO AVIDOS,"2,331",,VILA AMELIA,29706-297,ETANOL,05/05/2023,4.67,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO ARNALDO LTDA,27.495.696/0001-20,AVENIDA SILVIO AVIDOS,"2,331",,VILA AMELIA,29706-297,DIESEL S10,05/05/2023,5.78,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO ARNALDO LTDA,27.495.696/0001-20,AVENIDA SILVIO AVIDOS,"2,331",,VILA AMELIA,29706-297,DIESEL,05/05/2023,5.68,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO ARNALDO LTDA,27.495.696/0001-20,AVENIDA SILVIO AVIDOS,"2,331",,VILA AMELIA,29706-297,GASOLINA ADITIVADA,05/05/2023,5.99,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO ARNALDO LTDA,27.495.696/0001-20,AVENIDA SILVIO AVIDOS,"2,331",,VILA AMELIA,29706-297,GASOLINA,05/05/2023,5.89,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO DE GASOLINA SANTO ANTONIO LTDA,27.085.240/0001-92,AVENIDA SILVIO AVIDOS,3251,,SANTO ANTONIO,29704-053,DIESEL S10,05/05/2023,5.79,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
SE,ES,COLATINA,POSTO DE GASOLINA SANTO ANTONIO LTDA,27.085.240/0001-92,AVENIDA SILVIO AVIDOS,3251,,SANTO ANTONIO,29704-053,DIESEL,05/05/2023,5.69,,R$ / litro,IPIRANGA,2023-05-05,5,2023,2023-11-23
