Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data Formatada,Mes,Ano,Data da Carga ETL
CO,GO,MORRINHOS,AUTO POSTO LAMBARI LTDA,33.318.692/0001-70,AVENIDA COUTO DE MAGALHAES,528,,CENTRO,75650-000,DIESEL,09/06/2023,4.69,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
CO,GO,MORRINHOS,AUTO POSTO LAMBARI LTDA,33.318.692/0001-70,AVENIDA COUTO DE MAGALHAES,528,,CENTRO,75650-000,GASOLINA,09/06/2023,5.29,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,AUTO POSTO VIANA LTDA,19.790.195/0001-49,AVENIDA ANTONIO OLINTO,475,,CENTRO,35790-000,ETANOL,09/06/2023,3.99,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,AUTO POSTO VIANA LTDA,19.790.195/0001-49,AVENIDA ANTONIO OLINTO,475,,CENTRO,35790-000,DIESEL S10,09/06/2023,5.09,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,AUTO POSTO VIANA LTDA,19.790.195/0001-49,AVENIDA ANTONIO OLINTO,475,,CENTRO,35790-000,DIESEL,09/06/2023,4.99,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,AUTO POSTO VIANA LTDA,19.790.195/0001-49,AVENIDA ANTONIO OLINTO,475,,CENTRO,35790-000,GASOLINA ADITIVADA,09/06/2023,5.69,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,AUTO POSTO VIANA LTDA,19.790.195/0001-49,AVENIDA ANTONIO OLINTO,475,,CENTRO,35790-000,GASOLINA,09/06/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,POSTO LODETHI LTDA,03.394.890/0001-51,RUA AFONSO PENA,750,,CENTRO,35790-000,ETANOL,09/06/2023,3.93,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,POSTO LODETHI LTDA,03.394.890/0001-51,RUA AFONSO PENA,750,,CENTRO,35790-000,DIESEL,09/06/2023,4.89,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,CURVELO,POSTO LODETHI LTDA,03.394.890/0001-51,RUA AFONSO PENA,750,,CENTRO,35790-000,GASOLINA,09/06/2023,5.54,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO JULIO DOS SANTOS LTDA,08.789.003/0001-68,RODOVIA MG-129,SN,QUILOMETRO: 33;,BARREIRO,35903-031,ETANOL,09/06/2023,4.19,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO JULIO DOS SANTOS LTDA,08.789.003/0001-68,RODOVIA MG-129,SN,QUILOMETRO: 33;,BARREIRO,35903-031,DIESEL S10,09/06/2023,5.69,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO JULIO DOS SANTOS LTDA,08.789.003/0001-68,RODOVIA MG-129,SN,QUILOMETRO: 33;,BARREIRO,35903-031,DIESEL,09/06/2023,5.59,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO JULIO DOS SANTOS LTDA,08.789.003/0001-68,RODOVIA MG-129,SN,QUILOMETRO: 33;,BARREIRO,35903-031,GASOLINA,09/06/2023,5.59,,R$ / litro,ALESAT,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO PAULA E GOMES LTDA,03.042.701/0001-81,AVENIDA MADALENA PEREIRA SANTOS,50,,SAO JOAQUIM,35901-190,ETANOL,09/06/2023,4.34,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO PAULA E GOMES LTDA,03.042.701/0001-81,AVENIDA MADALENA PEREIRA SANTOS,50,,SAO JOAQUIM,35901-190,DIESEL S10,09/06/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO PAULA E GOMES LTDA,03.042.701/0001-81,AVENIDA MADALENA PEREIRA SANTOS,50,,SAO JOAQUIM,35901-190,DIESEL,09/06/2023,5.54,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO PAULA E GOMES LTDA,03.042.701/0001-81,AVENIDA MADALENA PEREIRA SANTOS,50,,SAO JOAQUIM,35901-190,GASOLINA,09/06/2023,5.79,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CAMPESTRE ITABIRA LTDA,20.987.954/0001-47,AVENIDA BRASIL,270,,J.K.,35900-367,GASOLINA ADITIVADA,09/06/2023,6.09,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CAMPESTRE ITABIRA LTDA,20.987.954/0001-47,AVENIDA BRASIL,270,,J.K.,35900-367,GASOLINA,09/06/2023,5.79,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CAMPESTRE ITABIRA LTDA,20.987.954/0001-47,AVENIDA BRASIL,270,,J.K.,35900-367,ETANOL,09/06/2023,4.34,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CAMPESTRE ITABIRA LTDA,20.987.954/0001-47,AVENIDA BRASIL,270,,J.K.,35900-367,DIESEL S10,09/06/2023,5.54,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CAMPESTRE ITABIRA LTDA,20.987.954/0001-47,AVENIDA BRASIL,270,,J.K.,35900-367,DIESEL,09/06/2023,5.54,,R$ / litro,RAIZEN,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CENTRAL ITABIRANO LTDA,01.063.076/0001-29,RUA NOVA ERA,5,,CENTRO,35900-199,DIESEL S10,09/06/2023,5.59,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CENTRAL ITABIRANO LTDA,01.063.076/0001-29,RUA NOVA ERA,5,,CENTRO,35900-199,GASOLINA ADITIVADA,09/06/2023,5.89,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,ITABIRA,POSTO CENTRAL ITABIRANO LTDA,01.063.076/0001-29,RUA NOVA ERA,5,,CENTRO,35900-199,GASOLINA,09/06/2023,5.79,,R$ / litro,VIBRA ENERGIA,2023-09-06,9,2023,2023-11-23
SE,MG,POCOS DE CALDAS,AUTO POSTO DIOGO & SILVA LTDA.,08.777.883/0001-52,AVENIDA VEREADOR EDMUNDO CARDILLO,56,,PARQUE VIVALDI LEITE RIBEIRO,37706-106,ETANOL,09/06/2023,3.59,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
SE,MG,POCOS DE CALDAS,AUTO POSTO DIOGO & SILVA LTDA.,08.777.883/0001-52,AVENIDA VEREADOR EDMUNDO CARDILLO,56,,PARQUE VIVALDI LEITE RIBEIRO,37706-106,DIESEL S10,09/06/2023,4.85,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
SE,MG,POCOS DE CALDAS,AUTO POSTO DIOGO & SILVA LTDA.,08.777.883/0001-52,AVENIDA VEREADOR EDMUNDO CARDILLO,56,,PARQUE VIVALDI LEITE RIBEIRO,37706-106,DIESEL,09/06/2023,4.79,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
SE,MG,POCOS DE CALDAS,AUTO POSTO DIOGO & SILVA LTDA.,08.777.883/0001-52,AVENIDA VEREADOR EDMUNDO CARDILLO,56,,PARQUE VIVALDI LEITE RIBEIRO,37706-106,GASOLINA ADITIVADA,09/06/2023,4.97,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
SE,MG,POCOS DE CALDAS,AUTO POSTO DIOGO & SILVA LTDA.,08.777.883/0001-52,AVENIDA VEREADOR EDMUNDO CARDILLO,56,,PARQUE VIVALDI LEITE RIBEIRO,37706-106,GASOLINA,09/06/2023,4.97,,R$ / litro,BRANCA,2023-09-06,9,2023,2023-11-23
SE,MG,POCOS DE CALDAS,AUTO POSTO REKAR LTDA.,07.341.138/0001-01,RUA CEL. VIRIGILIO SILVA,1578,,VILA NOVA,37701-103,ETANOL,09/06/2023,3.49,,R$ / litro,IPIRANGA,2023-09-06,9,2023,2023-11-23
